"Year","Quarter","Country","Brand","Market Share"
"2015","1","Australia","Apple","58.53"
"2015","2","Australia","Apple","54.67"
"2015","3","Australia","Apple","59.03"
"2015","4","Australia","Apple","58.4"
"2016","1","Australia","Apple","59.13"
"2016","2","Australia","Apple","58.33"
"2016","3","Australia","Apple","57.28"
"2016","4","Australia","Apple","56.11"
"2017","1","Australia","Apple","57.23"
"2017","2","Australia","Apple","56.2"
"2017","3","Australia","Apple","55.27"
"2017","4","Australia","Apple","56.15"
"2018","1","Australia","Apple","55.56"
"2018","2","Australia","Apple","53.05"
"2018","3","Australia","Apple","56.5"
"2018","4","Australia","Apple","61.06"
"2015","1","Australia","Huawei","0.92"
"2015","2","Australia","Huawei","1.1"
"2015","3","Australia","Huawei","1.33"
"2015","4","Australia","Huawei","1.46"
"2016","1","Australia","Huawei","1.76"
"2016","2","Australia","Huawei","2.07"
"2016","3","Australia","Huawei","2.59"
"2016","4","Australia","Huawei","3.04"
"2017","1","Australia","Huawei","3.5"
"2017","2","Australia","Huawei","3.83"
"2017","3","Australia","Huawei","4.19"
"2017","4","Australia","Huawei","4.47"
"2018","1","Australia","Huawei","5.43"
"2018","2","Australia","Huawei","5.74"
"2018","3","Australia","Huawei","5.77"
"2018","4","Australia","Huawei","5.39"
"2015","1","Australia","Xiaomi","0.17"
"2015","2","Australia","Xiaomi","0.22"
"2015","3","Australia","Xiaomi","0.25"
"2015","4","Australia","Xiaomi","0.28"
"2016","1","Australia","Xiaomi","0.29"
"2016","2","Australia","Xiaomi","0.3"
"2016","3","Australia","Xiaomi","0.33"
"2016","4","Australia","Xiaomi","0.42"
"2017","1","Australia","Xiaomi","0.58"
"2017","2","Australia","Xiaomi","0.71"
"2017","3","Australia","Xiaomi","0.83"
"2017","4","Australia","Xiaomi","0.89"
"2018","1","Australia","Xiaomi","1.08"
"2018","2","Australia","Xiaomi","1.31"
"2018","3","Australia","Xiaomi","1.32"
"2018","4","Australia","Xiaomi","1.24"
"2015","1","Australia","Samsung","26.97"
"2015","2","Australia","Samsung","27.41"
"2015","3","Australia","Samsung","26.67"
"2015","4","Australia","Samsung","27.84"
"2016","1","Australia","Samsung","27.53"
"2016","2","Australia","Samsung","27.58"
"2016","3","Australia","Samsung","26.88"
"2016","4","Australia","Samsung","26.32"
"2017","1","Australia","Samsung","25.89"
"2017","2","Australia","Samsung","24.5"
"2017","3","Australia","Samsung","25.56"
"2017","4","Australia","Samsung","24.22"
"2018","1","Australia","Samsung","22.69"
"2018","2","Australia","Samsung","22.84"
"2018","3","Australia","Samsung","22.42"
"2018","4","Australia","Samsung","20.39"
"2015","1","Australia","LG","1.25"
"2015","2","Australia","LG","1.36"
"2015","3","Australia","LG","1.18"
"2015","4","Australia","LG","1.15"
"2016","1","Australia","LG","1.03"
"2016","2","Australia","LG","1.02"
"2016","3","Australia","LG","1.03"
"2016","4","Australia","LG","0.76"
"2017","1","Australia","LG","0.68"
"2017","2","Australia","LG","0.63"
"2017","3","Australia","LG","0.67"
"2017","4","Australia","LG","0.61"
"2018","1","Australia","LG","0.57"
"2018","2","Australia","LG","0.57"
"2018","3","Australia","LG","0.57"
