Year,Quarter,Country,Brand,Market Share
2015,1,Canada,Apple,55.14
2015,2,Canada,Apple,54.41
2015,3,Canada,Apple,54.75
2015,4,Canada,Apple,52.83
2015,1,Canada,Huawei,0.5
2015,2,Canada,Huawei,0.55
2015,3,Canada,Huawei,0.57
2015,4,Canada,Huawei,0.56
2015,1,Canada,Xiaomi,0.05
2015,2,Canada,Xiaomi,0.18
2015,3,Canada,Xiaomi,0.2
2015,4,Canada,Xiaomi,0.11
2015,1,Canada,Samsung,26.28
2015,2,Canada,Samsung,26.53
2015,3,Canada,Samsung,26.26
2015,4,Canada,Samsung,27.61
2015,1,Canada,LG,1.35
2015,2,Canada,LG,1.67
2015,3,Canada,LG,2.21
2015,4,Canada,LG,3.19
2015,1,Canada,Lenovo,0.1
2015,2,Canada,Lenovo,0.11
2015,3,Canada,Lenovo,0.13
2015,4,Canada,Lenovo,0.15
2015,1,Canada,Oppo,0.01
2015,2,Canada,Oppo,0.03
2015,3,Canada,Oppo,0.04
2015,4,Canada,Oppo,0.01
2015,1,Canada,Vivo,0
2015,2,Canada,Vivo,0
2015,3,Canada,Vivo,0
2015,4,Canada,Vivo,0
2015,1,Canada,ZTE,0.02
2015,2,Canada,ZTE,0.02
2015,3,Canada,ZTE,0.03
2015,4,Canada,ZTE,0.04
2015,1,Canada,Alcatel,0.46
2015,2,Canada,Alcatel,0.44
2015,3,Canada,Alcatel,0.37
2015,4,Canada,Alcatel,0.36
2016,1,Canada,Apple,54.14
2016,2,Canada,Apple,49.87
2016,3,Canada,Apple,45.16
2016,4,Canada,Apple,51.59
2016,1,Canada,Huawei,0.77
2016,2,Canada,Huawei,1.17
2016,3,Canada,Huawei,1.53
2016,4,Canada,Huawei,1.46
2016,1,Canada,Xiaomi,0.12
2016,2,Canada,Xiaomi,0.11
2016,3,Canada,Xiaomi,0.33
2016,4,Canada,Xiaomi,0.13
2016,1,Canada,Samsung,26.38
2016,2,Canada,Samsung,25.58
2016,3,Canada,Samsung,26.86
2016,4,Canada,Samsung,26.46
2016,1,Canada,LG,3.65
2016,2,Canada,LG,3.93
2016,3,Canada,LG,4.22
2016,4,Canada,LG,5
2016,1,Canada,Lenovo,0.17
2016,2,Canada,Lenovo,0.29
2016,3,Canada,Lenovo,0.82
2016,4,Canada,Lenovo,0.19
2016,1,Canada,Oppo,0.03
2016,2,Canada,Oppo,0.02
2016,3,Canada,Oppo,0.02
2016,4,Canada,Oppo,0.03
2016,1,Canada,Vivo,0
2016,2,Canada,Vivo,0
2016,3,Canada,Vivo,0
2016,4,Canada,Vivo,0
2016,1,Canada,ZTE,0.04
2016,2,Canada,ZTE,0.04
2016,3,Canada,ZTE,0.06
2016,4,Canada,ZTE,0.08
2016,1,Canada,Alcatel,0.29
2016,2,Canada,Alcatel,0.23
2016,3,Canada,Alcatel,0.18
2016,4,Canada,Alcatel,0.17
