"Year","Quarter","Country","Brand","Market Share"
"2015","1","China","Apple","22.85"
"2015","2","China","Apple","24.9"
"2015","3","China","Apple","25.16"
"2015","4","China","Apple","24.14"
"2016","1","China","Apple","22.9"
"2016","2","China","Apple","21.76"
"2016","3","China","Apple","21.63"
"2016","4","China","Apple","25.15"
"2017","1","China","Apple","25.65"
"2017","2","China","Apple","31.93"
"2017","3","China","Apple","21.14"
"2017","4","China","Apple","20.05"
"2018","1","China","Apple","20.16"
"2018","2","China","Apple","22.3"
"2018","3","China","Apple","21.87"
"2018","4","China","Apple","24.57"
"2015","1","China","Huawei","9.64"
"2015","2","China","Huawei","9.55"
"2015","3","China","Huawei","9.94"
"2015","4","China","Huawei","11.65"
"2016","1","China","Huawei","12.43"
"2016","2","China","Huawei","13.1"
"2016","3","China","Huawei","14.48"
"2016","4","China","Huawei","14.73"
"2017","1","China","Huawei","16.56"
"2017","2","China","Huawei","16.18"
"2017","3","China","Huawei","19.38"
"2017","4","China","Huawei","20.28"
"2018","1","China","Huawei","20.44"
"2018","2","China","Huawei","21.16"
"2018","3","China","Huawei","22.08"
"2018","4","China","Huawei","23.24"
"2015","1","China","Xiaomi","15.87"
"2015","2","China","Xiaomi","14.4"
"2015","3","China","Xiaomi","14.79"
"2015","4","China","Xiaomi","14.72"
"2016","1","China","Xiaomi","13.42"
"2016","2","China","Xiaomi","11.87"
"2016","3","China","Xiaomi","10.13"
"2016","4","China","Xiaomi","11.17"
"2017","1","China","Xiaomi","11.37"
"2017","2","China","Xiaomi","9.78"
"2017","3","China","Xiaomi","10.44"
"2017","4","China","Xiaomi","9.82"
"2018","1","China","Xiaomi","9.42"
"2018","2","China","Xiaomi","9.71"
"2018","3","China","Xiaomi","10.37"
"2018","4","China","Xiaomi","11.32"
"2015","1","China","Samsung","16.88"
"2015","2","China","Samsung","13.86"
"2015","3","China","Samsung","11.11"
"2015","4","China","Samsung","11.77"
"2016","1","China","Samsung","10.61"
"2016","2","China","Samsung","9.44"
"2016","3","China","Samsung","8.13"
"2016","4","China","Samsung","7.24"
"2017","1","China","Samsung","7.09"
"2017","2","China","Samsung","5.96"
"2017","3","China","Samsung","5.92"
"2017","4","China","Samsung","5.59"
"2018","1","China","Samsung","5.06"
"2018","2","China","Samsung","4.49"
"2018","3","China","Samsung","4.14"
"2018","4","China","Samsung","3.88"
"2015","1","China","LG","0.38"
"2015","2","China","LG","0.28"
"2015","3","China","LG","0.22"
"2015","4","China","LG","0.22"
"2016","1","China","LG","0.22"
"2016","2","China","LG","0.29"
"2016","3","China","LG","0.15"
"2016","4","China","LG","0.15"
"2017","1","China","LG","0.09"
"2017","2","China","LG","0.09"
"2017","3","China","LG","0.1"
"2017","4","China","LG","0.1"
"2018","1","China","LG","0.1"
"2018","2","China","LG","0.08"
"2018","3","China","LG","0.09"
"2018","4","China","LG","0.07"
"2015","1","China","Lenovo","2.63"
"2015","2","China","Lenovo","2.42"
"2015","3","China","Lenovo","2.35"
"2015","4","China","Lenovo","2.15"
"2016","1","China","Lenovo","1.87"
"2016","2","China","Lenovo","1.72"
"2016","3","China","Lenovo","1.47"
"2016","4","China","Lenovo","1.18"
"2017","1","China","Lenovo","0.97"
"2017","2","China","Lenovo","0.78"
"2017","3","China","Lenovo","0.76"
"2017","4","China","Lenovo","0.6"
"2018","1","China","Lenovo","0.51"
"2018","2","China","Lenovo","0.39"
"2018","3","China","Lenovo","0.36"
"2018","4","China","Lenovo","0.31"
"2015","1","China","Oppo","3.22"
"2015","2","China","Oppo","3.72"
"2015","3","China","Oppo","4.54"
"2015","4","China","Oppo","5.42"
"2016","1","China","Oppo","5.41"
"2016","2","China","Oppo","4.94"
"2016","3","China","Oppo","4.21"
"2016","4","China","Oppo","3.92"
"2017","1","China","Oppo","8.64"
"2017","2","China","Oppo","8.96"
"2017","3","China","Oppo","11.75"
"2017","4","China","Oppo","13.53"
"2018","1","China","Oppo","13.4"
"2018","2","China","Oppo","13.02"
"2018","3","China","Oppo","12.52"
"2018","4","China","Oppo","11.09"
"2015","1","China","Vivo","0"
"2015","2","China","Vivo","0"
"2015","3","China","Vivo","0"
"2015","4","China","Vivo","0.06"
"2016","1","China","Vivo","0.07"
"2016","2","China","Vivo","0.07"
