"Year","Quarter","Country","Brand","Market Share"
"2015","1","Germany","Apple","28.03"
"2015","2","Germany","Apple","28.35"
"2015","3","Germany","Apple","28.73"
"2015","4","Germany","Apple","28.55"
"2016","1","Germany","Apple","29.01"
"2016","2","Germany","Apple","29.44"
"2016","3","Germany","Apple","28.42"
"2016","4","Germany","Apple","29.94"
"2017","1","Germany","Apple","30.2"
"2017","2","Germany","Apple","29.42"
"2017","3","Germany","Apple","28.92"
"2017","4","Germany","Apple","32.13"
"2018","1","Germany","Apple","32.94"
"2018","2","Germany","Apple","29.08"
"2018","3","Germany","Apple","27.13"
"2018","4","Germany","Apple","30.85"
"2015","1","Germany","Huawei","2.31"
"2015","2","Germany","Huawei","2.5"
"2015","3","Germany","Huawei","2.82"
"2015","4","Germany","Huawei","3.16"
"2016","1","Germany","Huawei","3.84"
"2016","2","Germany","Huawei","4.42"
"2016","3","Germany","Huawei","5.24"
"2016","4","Germany","Huawei","5.43"
"2017","1","Germany","Huawei","6.14"
"2017","2","Germany","Huawei","6.87"
"2017","3","Germany","Huawei","7.63"
"2017","4","Germany","Huawei","8.29"
"2018","1","Germany","Huawei","9.68"
"2018","2","Germany","Huawei","11.03"
"2018","3","Germany","Huawei","12.45"
"2018","4","Germany","Huawei","12.13"
"2015","1","Germany","Xiaomi","0.06"
"2015","2","Germany","Xiaomi","0.06"
"2015","3","Germany","Xiaomi","0.11"
"2015","4","Germany","Xiaomi","0.12"
"2016","1","Germany","Xiaomi","0.13"
"2016","2","Germany","Xiaomi","0.15"
"2016","3","Germany","Xiaomi","0.1"
"2016","4","Germany","Xiaomi","0.16"
"2017","1","Germany","Xiaomi","0.24"
"2017","2","Germany","Xiaomi","0.32"
"2017","3","Germany","Xiaomi","0.39"
"2017","4","Germany","Xiaomi","0.48"
"2018","1","Germany","Xiaomi","0.61"
"2018","2","Germany","Xiaomi","0.75"
"2018","3","Germany","Xiaomi","0.98"
"2018","4","Germany","Xiaomi","1.14"
