"Year","Quarter","Country","Brand","Market Share"
"2015","1","India","Apple","1.51"
"2015","2","India","Apple","1.6"
"2015","3","India","Apple","1.66"
"2015","4","India","Apple","1.64"
"2016","1","India","Apple","2.01"
"2016","2","India","Apple","2.4"
"2016","3","India","Apple","2.83"
"2016","4","India","Apple","2.3"
"2017","1","India","Apple","2.43"
"2017","2","India","Apple","2.66"
"2017","3","India","Apple","2.86"
"2017","4","India","Apple","3.32"
"2018","1","India","Apple","3.18"
"2018","2","India","Apple","2.78"
"2018","3","India","Apple","2.97"
"2018","4","India","Apple","2.98"
"2015","1","India","Huawei","0.29"
"2015","2","India","Huawei","0.36"
"2015","3","India","Huawei","0.41"
"2015","4","India","Huawei","0.42"
"2016","1","India","Huawei","0.47"
"2016","2","India","Huawei","0.49"
"2016","3","India","Huawei","0.46"
"2016","4","India","Huawei","0.55"
"2017","1","India","Huawei","0.75"
"2017","2","India","Huawei","0.84"
"2017","3","India","Huawei","0.97"
"2017","4","India","Huawei","1.06"
"2018","1","India","Huawei","1.12"
"2018","2","India","Huawei","1.7"
"2018","3","India","Huawei","2.22"
"2018","4","India","Huawei","2.51"
"2015","1","India","Xiaomi","0.75"
"2015","2","India","Xiaomi","0.86"
"2015","3","India","Xiaomi","1"
"2015","4","India","Xiaomi","1.14"
"2016","1","India","Xiaomi","1.64"
"2016","2","India","Xiaomi","2.25"
"2016","3","India","Xiaomi","2.15"
"2016","4","India","Xiaomi","4.96"
"2017","1","India","Xiaomi","6.33"
"2017","2","India","Xiaomi","8.07"
"2017","3","India","Xiaomi","9.83"
"2017","4","India","Xiaomi","11.15"
"2018","1","India","Xiaomi","12.06"
"2018","2","India","Xiaomi","16.29"
"2018","3","India","Xiaomi","19.96"
"2018","4","India","Xiaomi","20.4"
"2015","1","India","Samsung","29.72"
"2015","2","India","Samsung","28.43"
"2015","3","India","Samsung","27.25"
"2015","4","India","Samsung","25.15"
"2016","1","India","Samsung","25.36"
"2016","2","India","Samsung","27.37"
"2016","3","India","Samsung","26.71"
"2016","4","India","Samsung","27.23"
"2017","1","India","Samsung","26.49"
"2017","2","India","Samsung","25.37"
"2017","3","India","Samsung","24.77"
"2017","4","India","Samsung","24.85"
"2018","1","India","Samsung","24.68"
"2018","2","India","Samsung","24.2"
"2018","3","India","Samsung","23.89"
"2018","4","India","Samsung","24.05"
"2015","1","India","LG","0.73"
"2015","2","India","LG","0.71"
"2015","3","India","LG","0.67"
"2015","4","India","LG","0.62"
