"Year","Quarter","Country","Brand","Market Share"
"2015","1","Ireland","Apple","41.51"
"2015","2","Ireland","Apple","45.4"
"2015","3","Ireland","Apple","42.11"
"2015","4","Ireland","Apple","42.44"
"2016","1","Ireland","Apple","42.14"
"2016","2","Ireland","Apple","41.14"
"2016","3","Ireland","Apple","41.38"
"2016","4","Ireland","Apple","41.11"
"2017","1","Ireland","Apple","41.71"
"2017","2","Ireland","Apple","43.19"
"2017","3","Ireland","Apple","48.96"
"2017","4","Ireland","Apple","45.73"
"2018","1","Ireland","Apple","45.38"
"2018","2","Ireland","Apple","42.26"
"2018","3","Ireland","Apple","42.1"
"2018","4","Ireland","Apple","46.65"
"2015","1","Ireland","Huawei","2.05"
"2015","2","Ireland","Huawei","2.47"
"2015","3","Ireland","Huawei","2.68"
"2015","4","Ireland","Huawei","2.84"
"2016","1","Ireland","Huawei","3.43"
"2016","2","Ireland","Huawei","4.21"
"2016","3","Ireland","Huawei","5.19"
"2016","4","Ireland","Huawei","5.78"
"2017","1","Ireland","Huawei","6.42"
"2017","2","Ireland","Huawei","6.58"
"2017","3","Ireland","Huawei","6.26"
"2017","4","Ireland","Huawei","7.01"
"2018","1","Ireland","Huawei","7.42"
"2018","2","Ireland","Huawei","8.09"
"2018","3","Ireland","Huawei","9.03"
"2018","4","Ireland","Huawei","8.81"
"2015","1","Ireland","Xiaomi","0.13"
"2015","2","Ireland","Xiaomi","0.78"
"2015","3","Ireland","Xiaomi","0.33"
"2015","4","Ireland","Xiaomi","0.14"
"2016","1","Ireland","Xiaomi","0.15"
"2016","2","Ireland","Xiaomi","0.16"
"2016","3","Ireland","Xiaomi","0.12"
"2016","4","Ireland","Xiaomi","0.23"
"2017","1","Ireland","Xiaomi","0.36"
"2017","2","Ireland","Xiaomi","0.38"
"2017","3","Ireland","Xiaomi","0.42"
"2017","4","Ireland","Xiaomi","0.66"
"2018","1","Ireland","Xiaomi","0.8"
"2018","2","Ireland","Xiaomi","0.96"
"2018","3","Ireland","Xiaomi","1.15"
"2018","4","Ireland","Xiaomi","1.31"
"2015","1","Ireland","Samsung","30.25"
"2015","2","Ireland","Samsung","27.29"
"2015","3","Ireland","Samsung","29.93"
