"Year","Quarter","Country","Brand","Market Share"
"2015","1","New Zealand","Apple","43.75"
"2015","2","New Zealand","Apple","47.28"
"2015","3","New Zealand","Apple","47.43"
"2015","4","New Zealand","Apple","47.03"
"2016","1","New Zealand","Apple","48.09"
"2016","2","New Zealand","Apple","47.17"
"2016","3","New Zealand","Apple","47.67"
"2016","4","New Zealand","Apple","46.67"
"2017","1","New Zealand","Apple","45.36"
"2017","2","New Zealand","Apple","45.58"
"2017","3","New Zealand","Apple","43.63"
"2017","4","New Zealand","Apple","45.9"
"2018","1","New Zealand","Apple","46.65"
"2018","2","New Zealand","Apple","46.98"
"2018","3","New Zealand","Apple","47.8"
"2018","4","New Zealand","Apple","50.96"
"2015","1","New Zealand","Huawei","2.77"
"2015","2","New Zealand","Huawei","2.84"
"2015","3","New Zealand","Huawei","3.32"
"2015","4","New Zealand","Huawei","3.61"
"2016","1","New Zealand","Huawei","3.59"
"2016","2","New Zealand","Huawei","4.45"
"2016","3","New Zealand","Huawei","5.49"
"2016","4","New Zealand","Huawei","6.01"
"2017","1","New Zealand","Huawei","6.9"
"2017","2","New Zealand","Huawei","7.46"
"2017","3","New Zealand","Huawei","8.03"
"2017","4","New Zealand","Huawei","8.28"
"2018","1","New Zealand","Huawei","9.45"
"2018","2","New Zealand","Huawei","9.15"
"2018","3","New Zealand","Huawei","9.68"
"2018","4","New Zealand","Huawei","10.34"
"2015","1","New Zealand","Xiaomi","0.39"
"2015","2","New Zealand","Xiaomi","0.3"
"2015","3","New Zealand","Xiaomi","0.39"
"2015","4","New Zealand","Xiaomi","0.36"
"2016","1","New Zealand","Xiaomi","0.35"
"2016","2","New Zealand","Xiaomi","0.3"
"2016","3","New Zealand","Xiaomi","0.28"
"2016","4","New Zealand","Xiaomi","0.37"
"2017","1","New Zealand","Xiaomi","0.44"
"2017","2","New Zealand","Xiaomi","0.51"
"2017","3","New Zealand","Xiaomi","0.64"
"2017","4","New Zealand","Xiaomi","0.81"
"2018","1","New Zealand","Xiaomi","1.28"
"2018","2","New Zealand","Xiaomi","1.46"
"2018","3","New Zealand","Xiaomi","1.43"
"2018","4","New Zealand","Xiaomi","1.5"
"2015","1","New Zealand","Samsung","35.46"
"2015","2","New Zealand","Samsung","32.52"
"2015","3","New Zealand","Samsung","32.3"
"2015","4","New Zealand","Samsung","32.95"
"2016","1","New Zealand","Samsung","32.55"
"2016","2","New Zealand","Samsung","31.93"
"2016","3","New Zealand","Samsung","30.87"
"2016","4","New Zealand","Samsung","33.07"
"2017","1","New Zealand","Samsung","35.3"
"2017","2","New Zealand","Samsung","34.32"
"2017","3","New Zealand","Samsung","35.4"
"2017","4","New Zealand","Samsung","33.21"
"2018","1","New Zealand","Samsung","30.83"
"2018","2","New Zealand","Samsung","30.13"
"2018","3","New Zealand","Samsung","29.05"
"2018","4","New Zealand","Samsung","26"
"2015","1","New Zealand","LG","1.59"
"2015","2","New Zealand","LG","1.5"
"2015","3","New Zealand","LG","1.39"
"2015","4","New Zealand","LG","1.38"
"2016","1","New Zealand","LG","1.13"
"2016","2","New Zealand","LG","1.14"
"2016","3","New Zealand","LG","1.1"
"2016","4","New Zealand","LG","0.87"
"2017","1","New Zealand","LG","0.68"
"2017","2","New Zealand","LG","0.64"
"2017","3","New Zealand","LG","0.62"
"2017","4","New Zealand","LG","0.62"
"2018","1","New Zealand","LG","0.49"
"2018","2","New Zealand","LG","0.51"
"2018","3","New Zealand","LG","0.43"
"2018","4","New Zealand","LG","0.38"
"2015","1","New Zealand","Lenovo","0.09"
"2015","2","New Zealand","Lenovo","0.09"
"2015","3","New Zealand","Lenovo","0.13"
"2015","4","New Zealand","Lenovo","0.22"
"2016","1","New Zealand","Lenovo","0.27"
"2016","2","New Zealand","Lenovo","0.37"
"2016","3","New Zealand","Lenovo","0.42"
"2016","4","New Zealand","Lenovo","0.37"
"2017","1","New Zealand","Lenovo","0.46"
"2017","2","New Zealand","Lenovo","0.49"
"2017","3","New Zealand","Lenovo","0.57"
"2017","4","New Zealand","Lenovo","0.52"
"2018","1","New Zealand","Lenovo","0.59"
"2018","2","New Zealand","Lenovo","0.59"
"2018","3","New Zealand","Lenovo","0.52"
"2018","4","New Zealand","Lenovo","0.51"
"2015","1","New Zealand","Oppo","0.03"
"2015","2","New Zealand","Oppo","0.04"
"2015","3","New Zealand","Oppo","0.03"
"2015","4","New Zealand","Oppo","0.03"
"2016","1","New Zealand","Oppo","0.02"
"2016","2","New Zealand","Oppo","0.03"
"2016","3","New Zealand","Oppo","0.02"
"2016","4","New Zealand","Oppo","0.09"
"2017","1","New Zealand","Oppo","0.15"
"2017","2","New Zealand","Oppo","0.26"
"2017","3","New Zealand","Oppo","0.39"
"2017","4","New Zealand","Oppo","0.62"
"2018","1","New Zealand","Oppo","1.19"
"2018","2","New Zealand","Oppo","1.6"
"2018","3","New Zealand","Oppo","1.74"
"2018","4","New Zealand","Oppo","1.5"
"2015","1","New Zealand","Vivo","0"
"2015","2","New Zealand","Vivo","0"
"2015","3","New Zealand","Vivo","0"
"2015","4","New Zealand","Vivo","0"
"2016","1","New Zealand","Vivo","0"
"2016","2","New Zealand","Vivo","0"
"2016","3","New Zealand","Vivo","0"
"2016","4","New Zealand","Vivo","0"
"2017","1","New Zealand","Vivo","0"
"2017","2","New Zealand","Vivo","0"
"2017","3","New Zealand","Vivo","0"
"2017","4","New Zealand","Vivo","0"
"2018","1","New Zealand","Vivo","0"
"2018","2","New Zealand","Vivo","0"
"2018","3","New Zealand","Vivo","0"
"2018","4","New Zealand","Vivo","0"
"2015","1","New Zealand","ZTE","0.55"
"2015","2","New Zealand","ZTE","0.53"
"2015","3","New Zealand","ZTE","0.46"
"2015","4","New Zealand","ZTE","0.35"
"2016","1","New Zealand","ZTE","0.29"
"2016","2","New Zealand","ZTE","0.27"
"2016","3","New Zealand","ZTE","0.41"
"2016","4","New Zealand","ZTE","0.55"
"2017","1","New Zealand","ZTE","0.69"
"2017","2","New Zealand","ZTE","0.86"
"2017","3","New Zealand","ZTE","0.97"
"2017","4","New Zealand","ZTE","0.87"
"2018","1","New Zealand","ZTE","1.02"
"2018","2","New Zealand","ZTE","0.88"
"2018","3","New Zealand","ZTE","0.75"
"2018","4","New Zealand","ZTE","0.78"
"2015","1","New Zealand","Alcatel","0.74"
"2015","2","New Zealand","Alcatel","0.66"
"2015","3","New Zealand","Alcatel","0.67"
"2015","4","New Zealand","Alcatel","0.63"
"2016","1","New Zealand","Alcatel","0.62"
"2016","2","New Zealand","Alcatel","0.68"
"2016","3","New Zealand","Alcatel","0.59"
"2016","4","New Zealand","Alcatel","0.65"
"2017","1","New Zealand","Alcatel","0.73"
"2017","2","New Zealand","Alcatel","0.78"
"2017","3","New Zealand","Alcatel","0.7"
"2017","4","New Zealand","Alcatel","0.43"
"2018","1","New Zealand","Alcatel","0.42"
"2018","2","New Zealand","Alcatel","0.38"
"2018","3","New Zealand","Alcatel","0.69"
"2018","4","New Zealand","Alcatel","0.78"
