"Year","Quarter","Country","Brand","Market Share"
"2015","1","South Africa","Apple","7.22"
"2015","2","South Africa","Apple","7.26"
"2015","3","South Africa","Apple","4.84"
"2015","4","South Africa","Apple","4.56"
"2016","1","South Africa","Apple","5.22"
"2016","2","South Africa","Apple","4.44"
"2016","3","South Africa","Apple","5.45"
"2016","4","South Africa","Apple","6.15"
"2017","1","South Africa","Apple","8.4"
"2017","2","South Africa","Apple","9.49"
"2017","3","South Africa","Apple","9.59"
"2017","4","South Africa","Apple","10.22"
"2018","1","South Africa","Apple","11.13"
"2018","2","South Africa","Apple","11.24"
"2018","3","South Africa","Apple","11.72"
"2018","4","South Africa","Apple","13.85"
"2015","1","South Africa","Huawei","4.14"
"2015","2","South Africa","Huawei","4.15"
"2015","3","South Africa","Huawei","5.29"
"2015","4","South Africa","Huawei","5.65"
"2016","1","South Africa","Huawei","5.87"
"2016","2","South Africa","Huawei","6.73"
"2016","3","South Africa","Huawei","7.56"
"2016","4","South Africa","Huawei","8.63"
"2017","1","South Africa","Huawei","9.93"
"2017","2","South Africa","Huawei","11.19"
"2017","3","South Africa","Huawei","11.99"
"2017","4","South Africa","Huawei","13.53"
"2018","1","South Africa","Huawei","15.19"
"2018","2","South Africa","Huawei","16.9"
"2018","3","South Africa","Huawei","19.03"
"2018","4","South Africa","Huawei","21.24"
"2015","1","South Africa","Xiaomi","0.01"
"2015","2","South Africa","Xiaomi","0.02"
"2015","3","South Africa","Xiaomi","0.02"
"2015","4","South Africa","Xiaomi","0.03"
"2016","1","South Africa","Xiaomi","0.04"
"2016","2","South Africa","Xiaomi","0.06"
"2016","3","South Africa","Xiaomi","0.08"
"2016","4","South Africa","Xiaomi","0.08"
"2017","1","South Africa","Xiaomi","0.15"
"2017","2","South Africa","Xiaomi","0.23"
"2017","3","South Africa","Xiaomi","0.31"
"2017","4","South Africa","Xiaomi","0.41"
"2018","1","South Africa","Xiaomi","0.53"
"2018","2","South Africa","Xiaomi","0.58"
"2018","3","South Africa","Xiaomi","0.72"
"2018","4","South Africa","Xiaomi","0.72"
"2015","1","South Africa","Samsung","28.67"
"2015","2","South Africa","Samsung","28.15"
"2015","3","South Africa","Samsung","30.6"
"2015","4","South Africa","Samsung","32.24"
"2016","1","South Africa","Samsung","32.48"
"2016","2","South Africa","Samsung","34.49"
"2016","3","South Africa","Samsung","36.18"
"2016","4","South Africa","Samsung","41.47"
"2017","1","South Africa","Samsung","41.87"
"2017","2","South Africa","Samsung","42.7"
"2017","3","South Africa","Samsung","43.55"
"2017","4","South Africa","Samsung","44.01"
"2018","1","South Africa","Samsung","43.55"
"2018","2","South Africa","Samsung","43.48"
"2018","3","South Africa","Samsung","42.81"
"2018","4","South Africa","Samsung","42.29"
"2015","1","South Africa","LG","1.06"
"2015","2","South Africa","LG","1.09"
"2015","3","South Africa","LG","0.99"
"2015","4","South Africa","LG","1.09"
"2016","1","South Africa","LG","1.26"
"2016","2","South Africa","LG","1.21"
"2016","3","South Africa","LG","1.42"
"2016","4","South Africa","LG","1.51"
"2017","1","South Africa","LG","1.7"
"2017","2","South Africa","LG","1.82"
"2017","3","South Africa","LG","1.97"
"2017","4","South Africa","LG","2.31"
"2018","1","South Africa","LG","2.75"
"2018","2","South Africa","LG","2.86"
"2018","3","South Africa","LG","2.64"
"2018","4","South Africa","LG","2.65"
"2015","1","South Africa","Lenovo","0.15"
"2015","2","South Africa","Lenovo","0.18"
"2015","3","South Africa","Lenovo","0.15"
"2015","4","South Africa","Lenovo","0.18"
"2016","1","South Africa","Lenovo","0.21"
"2016","2","South Africa","Lenovo","0.21"
"2016","3","South Africa","Lenovo","0.25"
"2016","4","South Africa","Lenovo","0.24"
"2017","1","South Africa","Lenovo","0.3"
"2017","2","South Africa","Lenovo","0.31"
"2017","3","South Africa","Lenovo","0.31"
"2017","4","South Africa","Lenovo","0.29"
"2018","1","South Africa","Lenovo","0.3"
"2018","2","South Africa","Lenovo","0.3"
"2018","3","South Africa","Lenovo","0.29"
"2018","4","South Africa","Lenovo","0.29"
"2015","1","South Africa","Oppo","0"
"2015","2","South Africa","Oppo","0"
"2015","3","South Africa","Oppo","0"
"2015","4","South Africa","Oppo","0"
"2016","1","South Africa","Oppo","0"
"2016","2","South Africa","Oppo","0"
"2016","3","South Africa","Oppo","0"
"2016","4","South Africa","Oppo","0"
"2017","1","South Africa","Oppo","0.01"
"2017","2","South Africa","Oppo","0.02"
"2017","3","South Africa","Oppo","0.02"
"2017","4","South Africa","Oppo","0.05"
"2018","1","South Africa","Oppo","0.07"
"2018","2","South Africa","Oppo","0.13"
"2018","3","South Africa","Oppo","0.1"
"2018","4","South Africa","Oppo","0.06"
"2015","1","South Africa","Vivo","0"
"2015","2","South Africa","Vivo","0"
"2015","3","South Africa","Vivo","0"
"2015","4","South Africa","Vivo","0"
"2016","1","South Africa","Vivo","0"
"2016","2","South Africa","Vivo","0"
"2016","3","South Africa","Vivo","0"
"2016","4","South Africa","Vivo","0"
"2017","1","South Africa","Vivo","0"
"2017","2","South Africa","Vivo","0"
"2017","3","South Africa","Vivo","0"
"2017","4","South Africa","Vivo","0"
"2018","1","South Africa","Vivo","0.01"
"2018","2","South Africa","Vivo","0.02"
"2018","3","South Africa","Vivo","0.1"
"2018","4","South Africa","Vivo","0.02"
"2015","1","South Africa","ZTE","1.09"
"2015","2","South Africa","ZTE","1.12"
"2015","3","South Africa","ZTE","1.51"
"2015","4","South Africa","ZTE","1.55"
"2016","1","South Africa","ZTE","1.36"
"2016","2","South Africa","ZTE","1.39"
"2016","3","South Africa","ZTE","1.26"
"2016","4","South Africa","ZTE","1.05"
"2017","1","South Africa","ZTE","0.7"
"2017","2","South Africa","ZTE","0.51"
"2017","3","South Africa","ZTE","0.43"
"2017","4","South Africa","ZTE","0.37"
"2018","1","South Africa","ZTE","0.34"
"2018","2","South Africa","ZTE","0.32"
"2018","3","South Africa","ZTE","0.31"
"2018","4","South Africa","ZTE","0.25"
"2015","1","South Africa","Alcatel","0.24"
"2015","2","South Africa","Alcatel","0.27"
"2015","3","South Africa","Alcatel","0.3"
"2015","4","South Africa","Alcatel","0.3"
"2016","1","South Africa","Alcatel","0.3"
"2016","2","South Africa","Alcatel","0.28"
"2016","3","South Africa","Alcatel","0.27"
"2016","4","South Africa","Alcatel","0.45"
"2017","1","South Africa","Alcatel","0.69"
"2017","2","South Africa","Alcatel","0.98"
"2017","3","South Africa","Alcatel","0.85"
"2017","4","South Africa","Alcatel","0.7"
"2018","1","South Africa","Alcatel","0.56"
"2018","2","South Africa","Alcatel","0.49"
"2018","3","South Africa","Alcatel","0.4"
"2018","4","South Africa","Alcatel","0.35"
