"Year","Quarter","Country","Brand","Market Share"
"2015","1","UAE","Apple","13.14"
"2015","2","UAE","Apple","12.05"
"2015","3","UAE","Apple","14.72"
"2015","4","UAE","Apple","15.89"
"2016","1","UAE","Apple","17.81"
"2016","2","UAE","Apple","19.31"
"2016","3","UAE","Apple","17.85"
"2016","4","UAE","Apple","18.77"
"2017","1","UAE","Apple","18.79"
"2017","2","UAE","Apple","18.45"
"2017","3","UAE","Apple","17.72"
"2017","4","UAE","Apple","18.6"
"2018","1","UAE","Apple","17.26"
"2018","2","UAE","Apple","17.64"
"2018","3","UAE","Apple","18.56"
"2018","4","UAE","Apple","21.77"
"2015","1","UAE","Huawei","1.67"
"2015","2","UAE","Huawei","1.86"
"2015","3","UAE","Huawei","2.22"
"2015","4","UAE","Huawei","2.59"
"2016","1","UAE","Huawei","3"
"2016","2","UAE","Huawei","3.25"
"2016","3","UAE","Huawei","3.65"
"2016","4","UAE","Huawei","3.89"
"2017","1","UAE","Huawei","3.96"
"2017","2","UAE","Huawei","4.2"
"2017","3","UAE","Huawei","4.45"
"2017","4","UAE","Huawei","5.2"
"2018","1","UAE","Huawei","5.53"
"2018","2","UAE","Huawei","6.04"
"2018","3","UAE","Huawei","8"
"2018","4","UAE","Huawei","9.23"
"2015","1","UAE","Xiaomi","0.03"
"2015","2","UAE","Xiaomi","0.04"
"2015","3","UAE","Xiaomi","0.06"
"2015","4","UAE","Xiaomi","0.1"
"2016","1","UAE","Xiaomi","0.13"
"2016","2","UAE","Xiaomi","0.19"
"2016","3","UAE","Xiaomi","0.18"
"2016","4","UAE","Xiaomi","0.32"
"2017","1","UAE","Xiaomi","0.48"
"2017","2","UAE","Xiaomi","0.71"
"2017","3","UAE","Xiaomi","1.07"
"2017","4","UAE","Xiaomi","1.6"
"2018","1","UAE","Xiaomi","1.97"
"2018","2","UAE","Xiaomi","2.76"
"2018","3","UAE","Xiaomi","4.38"
"2018","4","UAE","Xiaomi","5.19"
"2015","1","UAE","Samsung","45.47"
"2015","2","UAE","Samsung","44.93"
"2015","3","UAE","Samsung","44.77"
"2015","4","UAE","Samsung","43.25"
"2016","1","UAE","Samsung","41.23"
"2016","2","UAE","Samsung","42.81"
"2016","3","UAE","Samsung","41.75"
"2016","4","UAE","Samsung","41.06"
"2017","1","UAE","Samsung","38.92"
"2017","2","UAE","Samsung","37.49"
"2017","3","UAE","Samsung","36.98"
"2017","4","UAE","Samsung","35.78"
"2018","1","UAE","Samsung","33.19"
"2018","2","UAE","Samsung","32.58"
"2018","3","UAE","Samsung","36.9"
"2018","4","UAE","Samsung","37.61"
"2015","1","UAE","LG","0.85"
"2015","2","UAE","LG","0.85"
"2015","3","UAE","LG","0.97"
"2015","4","UAE","LG","1.16"
"2016","1","UAE","LG","1.12"
"2016","2","UAE","LG","1.22"
"2016","3","UAE","LG","1.24"
"2016","4","UAE","LG","1.28"
"2017","1","UAE","LG","1.37"
"2017","2","UAE","LG","1.34"
"2017","3","UAE","LG","1.25"
"2017","4","UAE","LG","1.26"
"2018","1","UAE","LG","1.33"
"2018","2","UAE","LG","1.14"
"2018","3","UAE","LG","1.03"
"2018","4","UAE","LG","1.04"
"2015","1","UAE","Lenovo","3.79"
"2015","2","UAE","Lenovo","4.68"
"2015","3","UAE","Lenovo","5.52"
"2015","4","UAE","Lenovo","6.35"
"2016","1","UAE","Lenovo","6.81"
"2016","2","UAE","Lenovo","6.94"
"2016","3","UAE","Lenovo","7.35"
"2016","4","UAE","Lenovo","7.16"
"2017","1","UAE","Lenovo","7.52"
"2017","2","UAE","Lenovo","7.78"
"2017","3","UAE","Lenovo","7.91"
"2017","4","UAE","Lenovo","7.04"
"2018","1","UAE","Lenovo","6.62"
"2018","2","UAE","Lenovo","5.57"
"2018","3","UAE","Lenovo","4.62"
"2018","4","UAE","Lenovo","4.05"
"2015","1","UAE","Oppo","0.02"
"2015","2","UAE","Oppo","0.04"
"2015","3","UAE","Oppo","0.05"
"2015","4","UAE","Oppo","0.06"
"2016","1","UAE","Oppo","0.06"
"2016","2","UAE","Oppo","0.05"
"2016","3","UAE","Oppo","0.06"
"2016","4","UAE","Oppo","0.28"
"2017","1","UAE","Oppo","0.5"
"2017","2","UAE","Oppo","0.77"
"2017","3","UAE","Oppo","1.11"
"2017","4","UAE","Oppo","1.47"
"2018","1","UAE","Oppo","1.47"
"2018","2","UAE","Oppo","2.08"
"2018","3","UAE","Oppo","2.86"
"2018","4","UAE","Oppo","3.13"
"2015","1","UAE","Vivo","0"
"2015","2","UAE","Vivo","0"
"2015","3","UAE","Vivo","0"
"2015","4","UAE","Vivo","0"
"2016","1","UAE","Vivo","0"
"2016","2","UAE","Vivo","0"
"2016","3","UAE","Vivo","0"
"2016","4","UAE","Vivo","0"
"2017","1","UAE","Vivo","0"
"2017","2","UAE","Vivo","0"
"2017","3","UAE","Vivo","0"
"2017","4","UAE","Vivo","0"
"2018","1","UAE","Vivo","0"
"2018","2","UAE","Vivo","0"
"2018","3","UAE","Vivo","0"
"2018","4","UAE","Vivo","0"
"2015","1","UAE","ZTE","0.01"
"2015","2","UAE","ZTE","0.02"
"2015","3","UAE","ZTE","0.02"
"2015","4","UAE","ZTE","0.03"
"2016","1","UAE","ZTE","0.03"
"2016","2","UAE","ZTE","0.02"
"2016","3","UAE","ZTE","0.02"
"2016","4","UAE","ZTE","0.07"
"2017","1","UAE","ZTE","0.03"
"2017","2","UAE","ZTE","0.03"
"2017","3","UAE","ZTE","0.02"
"2017","4","UAE","ZTE","0.03"
"2018","1","UAE","ZTE","0.03"
"2018","2","UAE","ZTE","0.06"
"2018","3","UAE","ZTE","0.06"
"2018","4","UAE","ZTE","0.04"
"2015","1","UAE","Alcatel","0.17"
"2015","2","UAE","Alcatel","0.15"
"2015","3","UAE","Alcatel","0.14"
"2015","4","UAE","Alcatel","0.12"
"2016","1","UAE","Alcatel","0.11"
"2016","2","UAE","Alcatel","0.08"
"2016","3","UAE","Alcatel","0.07"
"2016","4","UAE","Alcatel","0.07"
"2017","1","UAE","Alcatel","0.14"
"2017","2","UAE","Alcatel","0.16"
"2017","3","UAE","Alcatel","0.16"
"2017","4","UAE","Alcatel","0.14"
"2018","1","UAE","Alcatel","0.13"
"2018","2","UAE","Alcatel","0.09"
"2018","3","UAE","Alcatel","0.08"
"2018","4","UAE","Alcatel","0.07"
