"Year","Quarter","Country","Brand","Market Share"
"2015","1","US","Apple","52.06"
"2015","2","US","Apple","49.17"
"2015","3","US","Apple","50.75"
"2015","4","US","Apple","51.21"
"2016","1","US","Apple","52.81"
"2016","2","US","Apple","52.95"
"2016","3","US","Apple","52.83"
"2016","4","US","Apple","54.09"
"2017","1","US","Apple","53.82"
"2017","2","US","Apple","53.47"
"2017","3","US","Apple","53.37"
"2017","4","US","Apple","54.92"
"2018","1","US","Apple","54.55"
"2018","2","US","Apple","53.87"
"2018","3","US","Apple","52.99"
"2018","4","US","Apple","55.62"
"2015","1","US","Huawei","0.47"
"2015","2","US","Huawei","0.59"
"2015","3","US","Huawei","0.65"
"2015","4","US","Huawei","0.47"
"2016","1","US","Huawei","0.55"
"2016","2","US","Huawei","0.64"
"2016","3","US","Huawei","0.69"
"2016","4","US","Huawei","0.62"
"2017","1","US","Huawei","0.61"
"2017","2","US","Huawei","0.69"
"2017","3","US","Huawei","0.72"
"2017","4","US","Huawei","0.77"
"2018","1","US","Huawei","0.89"
"2018","2","US","Huawei","1.03"
"2018","3","US","Huawei","0.97"
"2018","4","US","Huawei","0.91"
"2015","1","US","Xiaomi","0.02"
"2015","2","US","Xiaomi","0.25"
"2015","3","US","Xiaomi","0.3"
"2015","4","US","Xiaomi","0.05"
"2016","1","US","Xiaomi","0.13"
"2016","2","US","Xiaomi","0.09"
"2016","3","US","Xiaomi","0.09"
"2016","4","US","Xiaomi","0.07"
"2017","1","US","Xiaomi","0.08"
"2017","2","US","Xiaomi","0.13"
"2017","3","US","Xiaomi","0.16"
"2017","4","US","Xiaomi","0.28"
"2018","1","US","Xiaomi","0.3"
"2018","2","US","Xiaomi","0.41"
"2018","3","US","Xiaomi","0.4"
"2018","4","US","Xiaomi","0.42"
"2015","1","US","Samsung","26.05"
"2015","2","US","Samsung","27.12"
"2015","3","US","Samsung","26.43"
"2015","4","US","Samsung","26.81"
"2016","1","US","Samsung","26.7"
"2016","2","US","Samsung","27.01"
"2016","3","US","Samsung","26.45"
"2016","4","US","Samsung","27.02"
"2017","1","US","Samsung","27.29"
"2017","2","US","Samsung","26.87"
"2017","3","US","Samsung","27"
"2017","4","US","Samsung","25.26"
"2018","1","US","Samsung","25.2"
"2018","2","US","Samsung","25.41"
"2018","3","US","Samsung","25.5"
"2018","4","US","Samsung","23.58"
"2015","1","US","LG","6.4"
"2015","2","US","LG","6.79"
"2015","3","US","LG","6.58"
"2015","4","US","LG","6.77"
"2016","1","US","LG","6.6"
"2016","2","US","LG","6.89"
"2016","3","US","LG","6.31"
"2016","4","US","LG","6.66"
"2017","1","US","LG","7.15"
"2017","2","US","LG","7.53"
"2017","3","US","LG","7.55"
"2017","4","US","LG","7.21"
"2018","1","US","LG","7.28"
"2018","2","US","LG","7.23"
"2018","3","US","LG","7.16"
"2018","4","US","LG","7.1"
"2015","1","US","Lenovo","0.1"
"2015","2","US","Lenovo","0.13"
"2015","3","US","Lenovo","0.15"
"2015","4","US","Lenovo","0.18"
"2016","1","US","Lenovo","0.2"
"2016","2","US","Lenovo","0.23"
"2016","3","US","Lenovo","0.31"
"2016","4","US","Lenovo","0.27"
"2017","1","US","Lenovo","0.24"
"2017","2","US","Lenovo","0.28"
"2017","3","US","Lenovo","0.3"
"2017","4","US","Lenovo","0.35"
"2018","1","US","Lenovo","0.5"
"2018","2","US","Lenovo","0.27"
"2018","3","US","Lenovo","0.22"
"2018","4","US","Lenovo","0.17"
"2015","1","US","Oppo","0.01"
"2015","2","US","Oppo","0.07"
"2015","3","US","Oppo","0.11"
"2015","4","US","Oppo","0.02"
"2016","1","US","Oppo","0.07"
"2016","2","US","Oppo","0.03"
"2016","3","US","Oppo","0.02"
"2016","4","US","Oppo","0.02"
"2017","1","US","Oppo","0.04"
"2017","2","US","Oppo","0.06"
"2017","3","US","Oppo","0.09"
"2017","4","US","Oppo","0.13"
"2018","1","US","Oppo","0.13"
"2018","2","US","Oppo","0.16"
"2018","3","US","Oppo","0.15"
"2018","4","US","Oppo","0.15"
"2015","1","US","Vivo","0"
"2015","2","US","Vivo","0"
"2015","3","US","Vivo","0"
"2015","4","US","Vivo","0"
"2016","1","US","Vivo","0"
"2016","2","US","Vivo","0"
"2016","3","US","Vivo","0"
"2016","4","US","Vivo","0"
"2017","1","US","Vivo","0"
"2017","2","US","Vivo","0"
"2017","3","US","Vivo","0"
"2017","4","US","Vivo","0"
"2018","1","US","Vivo","0"
"2018","2","US","Vivo","0"
"2018","3","US","Vivo","0"
"2018","4","US","Vivo","0"
"2015","1","US","ZTE","0.98"
"2015","2","US","ZTE","1.17"
"2015","3","US","ZTE","1.13"
"2015","4","US","ZTE","1.02"
"2016","1","US","ZTE","0.84"
"2016","2","US","ZTE","0.85"
"2016","3","US","ZTE","0.71"
"2016","4","US","ZTE","1.21"
"2017","1","US","ZTE","1.66"
"2017","2","US","ZTE","1.83"
